n_shareholder_change,n_capital_increase,n_cb,n_collateral,종목코드,회사명,label
2,14,1,0,066430,아이로보틱스,1
4,6,3,2,900090,차이나하오란,1
5,3,17,2,080530,코디,1
1,0,2,0,053950,경남제약,1
7,2,2,3,155960,지디,1
0,0,0,0,060260,뉴보텍,1
5,35,8,2,026260,위너지스,1
0,2,0,0,214180,헥토이노베이션,1
12,5,3,7,101000,KS인더스트리,1
0,0,0,0,017250,인터엠,1
0,1,2,0,066790,씨씨에스,1
9,6,23,1,084180,수성웹툰,1
6,9,8,0,115530,씨엔플러스,1
8,0,10,4,111820,지유온,1
6,0,0,0,134780,화진,1
6,4,1,3,194510,파티게임즈,1
1,0,0,1,079190,케스피온,1
5,18,5,1,054340,피앤텔,1
5,0,0,1,102210,에이치디,1
0,0,0,0,108230,톱텍,1
2,4,0,1,064520,테크엘,1
3,2,1,0,106080,케이이엠텍,1
0,3,8,0,149940,모다,1
7,7,9,2,083470,이엠앤아이,1
2,20,0,0,052770,아이톡시,1
6,4,14,1,065940,바이오빌,1
2,8,4,0,078940,퀀타피아,1
2,6,5,0,056730,CNT85,1
1,0,0,1,083660,CSA 코스믹,1
1,18,19,0,073570,리튬포어스,1
0,6,0,0,065160,에프티이앤이,1
4,3,6,1,054220,비츠로시스,1
1,8,3,0,065420,에스아이리소스,1
0,2,2,0,156100,엘앤케이바이오,1
5,6,5,2,043590,웰킵스하이텍,1
5,12,14,3,094190,이엘케이,1
4,8,24,0,017680,데코앤이,1
2,6,1,0,036260,이매진아시아,1
0,0,0,0,950160,코오롱티슈진,1
1,12,4,1,069540,빛과전자,1
2,12,10,0,123260,파인넥스,1
5,3,6,3,008800,행남사,1
8,6,11,2,060300,레드로버,1
0,0,0,0,024830,세원물산,1
2,0,3,1,065560,녹원씨엔아이,1
1,8,14,0,039670,스포츠서울,1
2,4,2,0,030270,에스마크,1
4,2,1,4,025320,시노펙스,1
5,8,8,3,035290,골드앤에스,1
0,0,0,0,065570,삼영이엔씨,1
4,4,5,0,197210,리드,1
2,4,3,0,049180,셀루메드,1
0,2,9,0,032790,엠젠솔루션,1
0,0,0,0,153460,네이블,1
4,1,0,1,204990,코썬바이오,1
2,7,18,0,028040,미래SCI,1
5,4,6,3,138360,앤로보틱스,1
0,12,8,0,080440,에스제이케이,1
6,4,9,2,033600,럭슬,1
2,2,6,2,900100,파이온엑스,1
0,0,10,0,112240,에스에프씨,1
8,4,14,5,141020,디에스앤엘,1
7,4,13,4,158310,참존글로벌,1
1,7,6,1,050540,엠피씨플러스,1
1,4,0,0,900080,에스앤씨엔진그룹,1
0,0,0,0,046070,코다코,1
1,9,6,0,058220,아리온,1
0,4,7,0,066110,한프,1
0,7,17,0,223310,사토시홀딩스,1
5,11,16,0,086250,화신테크,1
3,8,35,0,039230,에이아이비트,1
0,0,5,0,215600,신라젠,1
2,4,13,0,087730,이엠네트웍스,1
2,2,2,0,263920,휴엠앤씨,1
3,12,0,2,058450,한주에이알티,1
6,0,10,2,038160,팍스넷,1
3,6,3,0,196450,코아시아씨엠,1
9,2,3,2,215090,솔디펜스,1
4,1,9,2,073070,에이팸,1
3,10,5,2,159910,에코글로우,1
4,10,10,1,052190,세영디앤씨,1
1,0,0,0,039310,세중,1
2,0,1,0,070300,엑스큐어,1
2,1,1,2,058530,파나케이아,1
4,2,6,0,114190,강원에너지,1
5,8,22,1,160600,이큐셀,1
4,4,9,0,036180,지더블유바이텍,1
7,3,7,4,176440,에이치엔티,1
6,2,1,3,257370,피엔티엠에스,1
2,6,4,0,016670,디모아,1
7,3,4,4,056000,코원플레이,1
1,0,0,1,071460,위니아,1
0,0,0,0,131090,시큐브,1
10,6,8,3,127160,매직마이크로,1
0,19,3,0,058420,제이웨이,1
0,0,0,0,006580,대양제지,1
1,12,3,0,114570,지스마트글로벌,1
0,4,3,0,065620,제낙스,1
0,0,1,0,046970,우리로,1
0,12,8,0,195440,퓨전,1
2,1,12,2,126870,뉴로스,1
5,12,4,2,263540,어스앤에어로스페이스,1
0,8,9,0,033110,코너스톤네트웍스,1
6,7,6,0,053660,현진소재,1
2,10,4,2,033430,디에스티,1
1,10,0,0,033340,좋은사람들,1
0,2,0,0,115180,큐리언트,1
1,8,6,0,182690,테라셈,1
0,0,11,0,208860,다산디엠씨,1
1,8,12,0,045890,GV,1
4,8,6,1,053110,소리바다,1
0,0,0,0,114810,한솔아이원스,1
0,2,8,0,078590,휴림에이텍,1
0,0,0,0,225330,씨엠에스에듀,1
0,0,0,0,099410,동방선기,1
7,3,0,2,090740,연이비앤티,1
2,3,4,1,091970,LSK아이로봇,1
2,6,7,0,099520,DGI,1
1,12,6,0,064510,유네코,1
0,1,5,0,177350,베셀,1
0,1,1,0,048260,오스템임플란트,1
0,0,0,0,275630,에스에스알,1
3,6,2,0,038340,MIT,1
0,2,10,0,069110,유한코스메틱,1
0,0,9,0,178780,일월지엠엘,1
7,9,10,4,148140,비디아이,1
0,0,0,0,053610,프로텍,1
5,0,2,2,181340,이즈미디어,1
3,12,10,0,078650,지나인제약,1
0,0,0,0,035460,기산텔레콤,1
8,3,4,2,096640,멜파스,1
2,12,7,0,136510,스마트솔루션즈,1
6,2,8,2,226440,한송네오텍,1
1,8,14,0,138690,엘아이에스,1
0,0,1,0,018680,서울제약,1
0,2,13,0,219750,한국비티비,1
2,7,1,2,057880,푸른소나무,1
3,11,7,0,214310,에스엘에너지,1
2,5,4,0,056090,시지메드텍,1
0,2,8,0,269620,시스웍,1
1,2,27,0,082660,코스나인,1
6,6,12,4,029480,광무,1
3,0,3,2,014200,광림,1
0,3,3,0,066410,버킷스튜디오,1
1,4,1,0,038530,케이바이오랩스,1
5,0,0,2,062860,티엘아이,1
0,0,0,0,318020,포인트모바일,1
3,6,8,1,053590,한국테크놀로지,1
0,5,2,0,290380,대유,1
2,1,2,0,238090,앤디포스,1
2,8,20,0,089530,에이티세미콘,1
0,6,2,0,024810,이화전기,1
0,0,1,0,096040,이트론,1
0,0,2,0,214870,한울BnC,1
0,4,4,0,047820,초록뱀미디어,1
0,2,12,0,121800,비덴트,1
0,0,0,0,052670,제일바이오,1
0,0,0,0,299910,애닉,1
0,10,2,0,294090,이오플로우,1
1,0,0,0,377460,큐에이드,1
11,4,3,6,068940,셀피글로벌,1
4,4,5,2,161570,THE MIDONG,1
2,0,2,0,078130,국일제지,1
2,0,0,2,013310,아진산업,1
3,2,6,0,096610,알에프세미,1
5,6,1,0,208340,파멥신,1
2,4,17,2,106520,노블엠앤비,1
2,2,0,0,222160,NPX,1
0,1,7,0,151910,퓨처코어,1
0,0,0,0,208350,지란지교시큐리티,1
4,4,20,2,073640,테라사이언스,1
3,1,2,2,182400,엔케이젠바이오텍코리아,1
3,4,4,0,072520,제넨바이오,1
0,0,1,0,187790,나노,1
1,8,12,0,230980,비유테크놀러지,1
2,4,19,0,196490,디에이테크놀로지,1
2,1,7,2,226360,KH 건설,1
0,3,0,0,178320,서진시스템,1
0,0,11,0,268600,셀리버리,1
0,1,1,0,049470,비트플래닛,1
2,4,14,2,139050,BF랩스,1
0,0,2,0,238200,비피도,1
3,3,4,0,323230,엠에프엠코리아,1
4,4,3,2,317240,TS트릴리온,1
0,0,0,0,418250,시큐레터,1
1,4,9,0,016790,현대사료,1
0,0,0,0,279600,미디어젠,1
2,1,4,0,080720,한국유니온제약,1
4,0,0,0,023460,CNH,1
1,0,5,0,065150,대산F&B,1
4,13,15,0,227100,프로브잇,1
0,0,0,0,226340,본느,1
1,4,12,0,203690,아크솔루션스,1
0,8,5,0,245620,EDGC,1
7,6,10,0,032980,바이온,1
0,2,6,0,222810,세토피아,1
0,11,0,0,241820,피씨엘,1
5,2,17,4,101390,아이엠,1
2,5,2,1,043090,더테크놀로지,1
1,8,8,0,244460,올리패스,1
0,4,0,0,246250,에스엘에스바이오,1
0,0,0,0,094820,일진파워,1
0,0,2,0,258790,소프트캠프,1
1,7,15,0,054180,메디콕스,1
1,0,4,1,175250,아이큐어,1
0,0,0,0,035890,서희건설,1
0,3,0,0,284620,카이노스메드,1
2,6,13,1,069920,엑시온그룹,1
0,0,0,0,950130,엑세스바이오,1
0,0,6,0,032680,소프트센,1
0,0,0,0,071200,인피니트헬스케어,1
0,2,0,0,234920,자이글,1
0,0,0,0,033500,동성화인텍,1
0,0,0,0,440110,파두,1
0,0,0,0,024950,삼천리자전거,1
3,6,7,0,064090,인크레더블버즈,1
3,0,0,0,263050,유틸렉스,1
3,1,0,2,001840,이화공영,1
0,0,0,0,007330,푸른저축은행,1
0,2,2,0,393970,대진첨단소재,1
5,2,8,2,043220,티에스넥스젠,1
3,8,1,0,288330,파라택시스코리아,1
2,2,5,2,068240,다원시스,1
0,1,8,0,352770,셀레스트라,1
0,0,2,0,295310,에이치브이엠,0
0,0,5,0,274090,켄코아에어로스페이스,0
0,0,0,0,005860,한일사료,0
0,0,1,0,299900,위지윅스튜디오,0
1,5,2,1,009620,삼보산업,0
0,1,4,0,078160,메디포스트,0
0,3,16,0,013720,청보,0
0,3,1,0,208640,썸에이지,0
