회사명,종목코드,폐지일자,폐지사유,label
아이엠,101390,2026-07-01,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
바이온,032980,2026-07-01,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
노블엠앤비,106520,2026-07-01,감사의견 거절(계속기업 존속능력 불확실성),1
프로브잇,227100,2026-07-01,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
비유테크놀러지,230980,2026-06-05,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성),1
선샤인푸드,217620,2026-05-08,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성),1
BF랩스,139050,2026-05-08,감사의견 거절(감사범위 제한),1
스튜디오산타클로스,204630,2026-03-18,감사의견 한정(감사범위 제한),1
지더블유바이텍,036180,2026-03-17,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
세토피아,222810,2026-03-16,감사의견 거절(계속기업 존속능력 불확실성),1
제일바이오,052670,2026-02-23,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
파멥신,208340,2026-01-27,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
인트로메딕,150840,2026-01-26,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
푸른소나무,057880,2026-01-22,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성),1
KH 미래물산,111870,2026-01-14,감사의견 거절(감사범위 제한),1
장원테크,174880,2026-01-14,감사의견 한정(감사범위 제한),1
KH 건설,226360,2026-01-14,감사의견 거절(감사범위 제한),1
에이디칩스,054630,2025-12-30,감사의견 거절(계속기업 존속능력 불확실성),1
퓨처코어,151910,2025-11-26,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
광림,014200,2025-11-26,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
이화전기,024810,2025-09-10,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
이트론,096040,2025-09-10,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
에스유앤피,019590,2025-09-08,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
조광ILI,044060,2025-08-21,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
대유,290380,2025-08-21,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
CNH,023460,2025-07-14,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
한송네오텍,226440,2025-06-19,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
엠에프엠코리아,323230,2025-06-19,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
위니아,071460,2025-06-18,감사의견 거절(감사범위 제한 및 계속기업가정 불확실성),1
제넨바이오,072520,2025-06-18,감사의견 거절(감사범위 제한 및 계속기업 가정 불확실성),1
한울BnC,214870,2025-03-31,감사의견 거절(감사범위 제한 및 계속기업가정 불확실성),1
MIT,038340,2025-03-28,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
셀리버리,268600,2025-03-07,감사의견 거절(감사범위 제한 및 계속기업 가정 불확실성),1
퀀타피아,078940,2025-02-19,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
이큐셀,160600,2025-02-14,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
애닉,299910,2025-02-14,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
골든센츄리,900280,2025-01-08,"사업보고서, 반기보고서 또는 분기보고서 미제출로 상장규정 제53조제1항제6호에 따라 관리종목으로 지정된 상태에서 공시규정 제19조제1항에 따른 사업보고서, 반기보고서 또는 분기보고서를 법정제출기한내 미제출",1
에스엘에너지,214310,2024-12-23,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
티엘아이,062860,2024-11-14,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
어스앤에어로스페이스,263540,2024-11-06,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
한국테크놀로지,053590,2024-10-07,해산사유 발생(파산선고),1
에이티세미콘,089530,2024-09-06,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,1
녹원씨엔아이,065560,2024-07-29,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
스마트솔루션즈,136510,2024-07-25,감사의견 거절,1
이즈미디어,181340,2024-07-10,감사범위 제한,1
파나케이아,058530,2024-06-25,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
THE MIDONG,161570,2024-06-17,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
비디아이,148140,2024-06-07,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
아리온,058220,2024-05-03,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),1
크루셜텍,114120,2024-02-15,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
디에스앤엘,141020,2024-01-03,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
엘아이에스,138690,2023-12-06,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
유한코스메틱,069110,2023-10-20,감사의견 거절(감사범위 제한),1
지나인제약,078650,2023-07-21,감사의견 거절(감사범위 제한 및 계속기업가정 불확실성),1
멜파스,096640,2023-07-17,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
엠피씨플러스,050540,2023-05-08,감사의견 거절(감사범위 제한),1
제이웨이,058420,2023-04-14,감사의견 거절(감사범위 제한 및 계속기업가정 불확실성),1
코원플레이,056000,2023-03-30,감사의견 거절(감사범위 제한 및 계속기업가정 불확실성),1
유네코,064510,2023-01-17,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성),1
참존글로벌,158310,2022-11-09,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
레드로버,060300,2022-11-04,기업의 계속성 및 경영의 투명성 등을 종합적을 고려하여 상장폐지기준에 해당한다고 결정,1
케이프이에스제4호,347140,2022-10-31,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,1
뉴로스,126870,2022-10-26,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성),1
연이비앤티,090740,2022-10-17,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
테라셈,182690,2022-10-17,감사의견 거절(감사범위 제한),1
매직마이크로,127160,2022-09-22,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성),1
소리바다,053110,2022-09-07,감사의견 거절(감사범위 제한),1
에이치엔티,176440,2022-06-27,기업의 계속성 및 경영의 투명성 등을 종합적을 고려하여 상장폐지기준에 해당한다고 결정,1
에스에이치엔엘,050320,2022-05-31,감사의견 거절,1
세영디앤씨,052190,2022-05-27,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),1
현진소재,053660,2022-04-26,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),1
스포츠서울,039670,2022-04-20,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,1
한프,066110,2022-04-06,감사의견 거절(감사범위 제한),1
지스마트글로벌,114570,2022-02-23,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),1
자안바이오,221610,2022-01-05,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지,1
GV,045890,2021-12-20,해산사유 발생(파산선고),1
