n_shareholder_change,n_capital_increase,n_cb,n_collateral,종목코드,회사명
0,2,0,0,475040,스트라드비젼
0,0,0,0,153890,져스텍
0,0,0,0,477850,마키나락스
0,0,1,0,288180,케이피항공산업
0,0,0,0,487580,폴레드
0,0,0,0,439960,코스모로보틱스
0,0,0,0,394420,리센스메디컬
0,0,0,0,408470,한패스
0,0,0,0,493280,아이엠바이오로직스
0,0,0,0,458350,에스팀
0,0,0,0,493330,지에프아이
0,1,1,0,012210,삼미금속
0,0,0,0,490470,세미파이브
0,0,0,0,491000,리브스메드
0,5,0,0,476830,알지노믹스
0,0,0,0,478340,나라스페이스테크놀로지
0,2,0,0,464490,쿼드메디슨
0,0,0,0,261520,이지스
0,0,0,0,950250,테라뷰
0,0,0,0,488900,비츠로넥스텍
0,0,0,0,388210,씨엠티엑스
0,0,0,0,403850,더핑크퐁컴퍼니
0,0,0,0,459550,알트
0,1,0,0,494120,큐리오시스
0,0,0,0,469610,이노테크
0,0,0,0,486990,노타
0,0,0,0,014950,삼익제약
0,0,0,0,488280,에스투더블유
0,0,0,0,397810,애드포러스
0,0,0,0,484590,삼양컴텍
0,2,2,0,456160,지투지바이오
0,0,2,0,309710,아이티켐
0,0,0,0,468530,프로티나
0,0,0,0,475230,엔알비
0,1,1,0,380550,뉴로핏
0,0,0,0,484120,도우인시스
0,0,0,0,331740,아우토크립트
0,0,0,0,462310,뉴키즈온
0,0,0,0,234030,싸이닉솔루션
0,0,0,0,463020,뉴엔AI
0,2,0,0,455180,케이지에이
0,0,0,0,340450,지씨지놈
0,0,0,0,474650,링크솔루션
0,0,0,0,475430,키스트론
0,0,0,0,489460,바이오비쥬
0,0,0,0,188040,바이오포트
0,0,0,0,125020,티씨머티리얼즈
0,1,1,0,376900,로킷헬스케어
0,2,1,0,476040,오가노이드사이언스
0,0,0,0,136150,원일티엔아이
0,0,1,0,459510,나우로보틱스
0,0,0,0,364950,에이아이코리아
0,3,0,0,448900,한국피아이엠
0,0,0,0,481070,에이유브랜즈
0,0,0,0,101970,우양에이치씨
0,0,0,0,462860,더즌
0,0,0,0,444530,심플랫폼
0,0,0,0,098070,한텍
0,2,1,0,226590,엠디바이스
0,0,0,0,479960,위너스일렉
1,0,0,0,463480,모티브링크
0,2,0,0,475830,오름테라퓨틱
0,0,0,0,240550,동방메디컬
0,0,0,0,462980,아이지넷
0,1,0,0,482630,삼양엔씨켐
0,0,0,0,373160,데이원컴퍼니
0,0,0,0,450950,아스테라시스
0,0,0,0,096250,와이즈넛
0,0,0,0,475460,미트박스
0,3,1,0,478560,블랙야크아이앤씨
0,0,0,0,432980,엠에프씨
0,0,0,0,387570,파인메딕스
0,0,0,0,177900,쓰리에이로직스
0,3,0,0,176750,듀켐바이오
0,0,0,0,398120,에스지헬스케어
0,0,0,0,476060,온코닉테라퓨틱스
0,1,2,0,382150,온코크로스
0,0,0,0,457600,벡트
0,0,0,0,471820,셀로맥스사이언스
0,2,1,0,459100,위츠
0,0,0,0,389680,유디엠텍
0,0,0,0,474610,RF시스템즈
0,0,0,0,466410,사이냅소프트
0,0,0,0,475660,에스켐
0,1,1,0,394800,쓰리빌리언
0,0,0,0,464580,닷밀
0,0,0,0,473980,노머스
0,0,1,0,163280,에어레인
0,0,0,0,475960,토모큐브
0,0,1,0,376270,HEM파마
0,1,2,0,475580,에이럭스
0,2,2,0,336680,탑런토탈솔루션
0,0,0,0,458650,성우
0,4,0,0,044990,에이치엔에스하이텍
0,0,0,0,289930,웨이비스
0,0,0,0,475400,씨메스로보틱스
0,0,0,0,457370,한켐
0,0,2,0,474170,루미르
0,0,0,0,465480,인스피언
0,1,1,0,308430,셀비온
0,0,1,0,381620,제닉스로보틱스
0,0,2,0,351870,차이커뮤니케이션
0,0,0,0,464500,아이언디바이스
0,0,0,0,469750,아이비젼웍스
0,0,0,0,461300,아이스크림미디어
0,0,0,0,464280,티디에스팜
0,0,0,0,389650,넥스트바이오메디컬
0,0,0,0,431190,케이쓰리아이
0,0,0,0,088340,유라클
0,0,0,0,199480,뱅크웨어글로벌
0,0,0,0,460470,아이빔테크놀로지
0,0,0,0,460940,피앤에스로보틱스
0,7,0,0,373110,엑셀세라퓨틱스
0,0,0,0,450330,하스
0,12,0,0,462350,이노스페이스
0,0,0,0,160190,하이젠알앤엠
0,0,1,0,464080,에스오에스랩
1,3,1,0,107640,한중엔시에스
0,0,0,0,458870,씨어스
0,0,0,0,453450,그리드위즈
0,0,0,0,323350,다원넥스뷰
0,0,0,0,145170,노브랜드
0,2,1,0,456010,아이씨티케이
0,0,0,0,126730,코칩
0,0,0,0,452200,민테크
0,0,0,0,140430,카티스
0,0,3,0,347850,디앤디파마텍
0,0,2,0,412540,제일엠앤에스
0,0,0,0,451250,삐아
0,0,0,0,461030,아이엠비디엑스
0,0,0,0,455900,엔젤로보틱스
0,0,0,0,420570,제이투케이바이오
0,0,1,0,437730,삼현
0,0,0,0,036220,오상헬스케어
0,0,1,0,199430,케이엔알시스템
0,12,2,0,418620,E8
0,0,0,0,360350,코셈
0,2,0,0,068100,케이웨더
0,0,0,0,452430,사피엔반도체
0,0,0,0,415380,스튜디오삼익
0,0,0,0,472850,폰드그룹
0,5,0,0,199550,레이저옵텍
0,0,0,0,452400,이닉스
0,0,0,0,105760,포스뱅크
0,0,0,0,440290,HB인베스트먼트
0,0,0,0,457550,우진엔텍
0,0,0,0,452190,한빛레이저
0,0,0,0,439580,블루엠텍
0,0,1,0,432470,케이엔에스
0,0,2,0,338840,와이바이오로직스
0,6,7,0,355690,에이텀
0,2,0,0,453860,에이에스텍
0,0,1,0,402490,그린리소스
0,1,1,0,452160,제이엔비
0,0,2,0,452280,한선엔지니어링
0,0,0,0,448280,에코아이
0,5,0,0,365330,에스와이스틸텍
0,0,1,0,445090,에이직랜드
0,4,0,0,446540,메가터치
0,0,0,0,413640,비아이매트릭스
0,0,0,0,451760,컨텍
0,1,3,0,372320,큐로셀
0,0,0,0,088280,쏘닉스
1,3,1,0,188260,세니젠
2,1,1,0,290560,파라택시스이더리움
0,0,0,0,240600,유진테크놀로지
2,7,0,0,221800,지구홀딩스
