corp_name,nm,birth_ym,ofcps,rgist_exctv_at,main_career,source_year,years_before_delisting,위험기업,위험종목코드
아이엠,김태동,1974년 05월,"대표
이사",사내이사,"한국외국어대학교 독어과 졸업
전) (주)로카스테크놀러지 이사
전) (주)포퓨처코포레이션 이사
전) (주)아이엠 부사장",2025,1,아이엠,101390
아이엠,송산,1982년 07월,이사,사내이사,"단국대학교 졸업
(주)셀렉원",2025,1,아이엠,101390
아이엠,이문규,1978년 03월,이사,사내이사,"명지대학교 졸업
(주)선진그룹
에빅오토모티브코리아 이사",2025,1,아이엠,101390
아이엠,강진,1971년 07월,이사,사내이사,"LG산전
Gwangsung Electronics(H.K)대표",2025,1,아이엠,101390
아이엠,김두수,1978년 12월,"사외
이사",사외이사,(주)명윤이엔지 대표,2025,1,아이엠,101390
아이엠,김성환,1996년 02월,"사외
이사",사외이사,"서울대학교 졸업
SK하이닉스
現사운드 백신(주)",2025,1,아이엠,101390
아이엠,장두식,1985년 09월,감사,감사,"연세대 법대졸
부산대 법학전문대학원 졸업
現 법무법인 정향 변호사",2025,1,아이엠,101390
아이엠,강태윤,1977년 05월,부사장,사내이사,"Qingdao University 중어중문과 졸업
전) (주)씨엔플러스 경영지원 팀장
전) (주)아이엠 대표이사",2024,2,아이엠,101390
아이엠,이현수,1964년 02월,이사,사외이사,"연세대 공학대학원 박사
전) 마이에셋자산운용 대표이사
전) 코레이트자산운용 대표이사
現 케이클리비스(주) 사장",2024,2,아이엠,101390
아이엠,김지중,1962년 04월,감사,감사,"연세대학교 공과대학원 공학경영전, 
전) 해보유통 대표
現 (주)제이제이무역 대표이사",2024,2,아이엠,101390
바이온,박정한,1969년 08월,대표이사,사내이사,한국캐피탈 영업본부장(주)피엔씨인베스트먼트부사장(주)티비엘컴퍼니 대표이사,2025,1,바이온,032980
바이온,박범진,1981년 06월,대표이사,사내이사,(유)비제이테크 대표이사,2025,1,바이온,032980
바이온,박우진,1983년 05월,사내이사,사내이사,(유)비제이테크 CFO,2025,1,바이온,032980
바이온,조완진,1982년 12월,사외이사,사외이사,삼일회계법인 회계사휘트린씨앤디 편드운용역성현회계법인 회계사한미회계법인 회계사,2025,1,바이온,032980
바이온,강병욱,1970년 05월,사외이사,사외이사,(주)GTS인베스트 (주)정림E&C 대표이사(주)C&G이노베이션 대표이사,2025,1,바이온,032980
바이온,최용석,1971년 01월,감사,감사,"미래산업전략연구소 연구원
(주)마케아 대표이사",2025,1,바이온,032980
바이온,류진형,1968년 10월,대표이사,사내이사,"중앙홀딩스 대표이사
前 (주)중앙오션 대표이사",2024,2,바이온,032980
바이온,정민호,1965년 12월,사내이사,사내이사,"광진산전(주) 대표이사
前 광진산전(주) 상무이사",2024,2,바이온,032980
바이온,정행주,1981년 03월,사외이사,사외이사,"대한변호사협회 사업위원회 의원
법무법인 강남 변호사",2024,2,바이온,032980
노블엠앤비,신봉석,1966년 12월,대표이사,사내이사,"(전) 주식회사 에치티모터스 이사
(현) 주식회사 고고스 대표이사",2025,1,노블엠앤비,106520
노블엠앤비,임건식,1960년 12월,감사,감사,(전) 주식회사 원타임홀딩스 이사(현) 주식회사 포시텔제주 이사,2025,1,노블엠앤비,106520
노블엠앤비,임지현,1977년 08월,이사,사내이사,"前)삼정 KPMG㈜  PEF 팀 팀장
前)베이사이드프라이빗에쿼티㈜ 펀드운용역 이사
前)(주)지티지웰니스 대표이사
現)(주)지티지웰니스 사내이사",2025,1,노블엠앤비,106520
노블엠앤비,조원영,1969년 12월,부장,사내이사,(현) 주식회사 화담에이치디 대표이사(현) 주식회사 함박재황칠농장 대표이사(현) 주식회사 청현 대표이사,2025,1,노블엠앤비,106520
노블엠앤비,황인용,1972년 10월,이사,사내이사,현) 주식회사 씨지건설 대표이사(현) 주식회사 도광개발 대표이사,2025,1,노블엠앤비,106520
노블엠앤비,문효영,1980년 01월,이사,사외이사,"前) HST inc Senior researcher前) 광주과학기술원 연구원
現) 압티지엠제이 주식회사 대표이사",2025,1,노블엠앤비,106520
노블엠앤비,이정은,1977년 03월,이사,사외이사,"前)영광원자력발전소 총무부 재무회계담당
前)대승공조 총무팀 재무회계담당
前)KT동수원지사 원텔 총무팀 재무회계담당
前)21세기붐 총무과 총괄이사
現)대성개발 대표이사",2025,1,노블엠앤비,106520
노블엠앤비,박삼수,1966년 05월,이사,사외이사,(전) 나운건설 이사,2025,1,노블엠앤비,106520
노블엠앤비,최순호,1970년 08월,감사,감사,"前) (주)서린바이오사이언스 생명공학사업부 과장
前) (주)진올바이오시스템 연구소 및 마케팅 부장
前) (주)코리아바이오그룹 대표이사
現) (주)바이오샵 대표이사
現) (주)휴먼셀바이오 대표이사",2025,1,노블엠앤비,106520
